ID,Возраст,Город в адресе регистрации на конец отчетного периода,Должность,Календарные дни отсутствия,Количество детей,Молодая кровь,Оклад/тариф на конец отчетного периода,Пол,Сезон,Семейное положение,Стаж,Уволен,Образование,Изменение должности,Отдел,Вовлеченность,Удобство рабочего графика
23855133.0,64.0,Москва,Ведущий инженер,133.0,3.0,False,42300.0,мужской,3,Жен/ЗМ,27.0,1,Среднее общее,1,3,0.67,1
23866165.0,40.0,Москва,экономист,207.0,2.0,False,33600.0,женский,4,Жен/ЗМ,8.0,1,Высшее,1,6,0.29,1
23858052.0,68.0,Москва,начальник смены,2.0,2.0,False,52500.0,мужской,3,Жен/ЗМ,40.0,1,Среднее общее,1,6,0.36,1
23865091.0,64.0,Москва,Ведущий инженер,5.0,1.0,False,42300.0,женский,3,Разв.,15.0,1,Среднее общее,1,6,0.5,1
23866136.0,37.0,Москва,Старший оператор ,1.0,2.0,False,22300.0,мужской,3,Разв.,8.0,1,Среднее общее,1,6,0.68,1
23858200.0,59.0,Москва,Ведущий инженер,13.0,2.0,False,42300.0,женский,3,Разв.,33.0,1,Среднее специальное,1,4,0.53,0
23865835.0,37.0,Москва,инженер,0.0,1.0,False,33600.0,мужской,2,Жен/ЗМ,10.0,1,Среднее специальное,1,3,0.32,1
23858258.0,62.0,Москва,заместитель начальника отдела,12.0,0.0,False,65000.0,мужской,2,Жен/ЗМ,37.0,1,Среднее общее,1,7,0.59,0
23865845.0,34.0,Москва,Ведущий экономист,289.0,2.0,True,39840.0,женский,4,Жен/ЗМ,9.0,1,Среднее общее,1,5,0.52,1
23866494.0,43.0,Москва,инженер,27.0,3.0,False,36800.0,мужской,3,Жен/ЗМ,6.0,1,Среднее общее,0,8,0.03,0
23866245.0,71.0,Москва,инспектор,142.0,2.0,False,58500.0,мужской,3,Жен/ЗМ,8.0,1,Среднее специальное,1,3,0.78,1
23866323.0,40.0,Москва,техник,135.0,2.0,False,23000.0,женский,2,Жен/ЗМ,7.0,1,Среднее общее,1,0,0.48,1
23855000.0,56.0,Москва,Старший оператор ,176.0,1.0,False,37980.0,мужской,4,Жен/ЗМ,34.0,1,Высшее,1,7,0.9,0
23865736.0,36.0,Москва,инженер,1.0,1.0,False,37980.0,мужской,4,Жен/ЗМ,10.0,1,Высшее,1,1,0.66,1
23858622.0,72.0,Москва,экономист,6.0,1.0,False,20300.0,мужской,3,Жен/ЗМ,31.0,1,Высшее,1,9,0.6,1
23854856.0,63.0,Москва,инспектор,41.0,1.0,False,60380.0,мужской,1,Жен/ЗМ,37.0,1,Высшее,1,4,0.34,0
23858031.0,60.0,Москва,слесарь,76.0,2.0,False,28600.0,мужской,3,Жен/ЗМ,35.0,1,Среднее общее,1,6,0.04,1
23874341.0,25.0,Москва,инженер,11.0,0.0,True,43660.0,мужской,4,Разв.,1.0,1,Среднее специальное,1,7,0.61,1
23857955.0,65.0,Москва,слесарь,0.0,3.0,False,28600.0,мужской,2,Жен/ЗМ,32.0,1,Среднее специальное,1,5,0.91,1
23860601.0,49.0,Москва,заместитель начальника цеха,9.0,0.0,False,84000.0,мужской,3,Жен/ЗМ,19.0,1,Среднее специальное,1,6,0.87,1
23862747.0,49.0,Москва,инженер,0.0,0.0,False,33600.0,мужской,1,Хол/НЗ,18.0,1,Среднее общее,1,9,0.32,1
23866111.0,35.0,Москва,экономист,11.0,0.0,True,33600.0,женский,3,Разв.,8.0,1,Высшее,1,4,0.73,0
23865550.0,41.0,Москва,экономист,69.0,1.0,False,33600.0,женский,4,Разв.,12.0,1,Высшее,1,3,0.91,1
23866000.0,40.0,Москва,инженер,48.0,0.0,False,36800.0,мужской,3,Разв.,9.0,1,Среднее специальное,1,4,0.0,1
23857710.0,61.0,Москва,электрогазосварщик 5 разряда,50.0,2.0,False,25000.0,мужской,4,Жен/ЗМ,34.0,1,Среднее общее,1,7,0.29,1
23856818.0,58.0,Москва,электрослесарь,8.0,1.0,False,37200.0,мужской,1,Жен/ЗМ,33.0,1,Среднее специальное,1,3,0.27,1
23865633.0,50.0,Москва,эксперт,0.0,1.0,False,39840.0,женский,2,Жен/ЗМ,11.0,1,Среднее общее,0,7,0.48,1
23857626.0,66.0,Москва,мастер,29.0,3.0,False,43660.0,мужской,4,Жен/ЗМ,34.0,1,Среднее общее,1,3,0.02,1
23857580.0,62.0,Москва,слесарь,10.0,2.0,False,25000.0,мужской,1,Жен/ЗМ,34.0,1,Высшее,1,9,0.3,1
23854801.0,64.0,Москва,мастер,28.0,2.0,False,43660.0,мужской,2,Жен/ЗМ,20.0,1,Высшее,0,9,0.1,1
23865867.0,33.0,Москва,электрослесарь,21.0,1.0,True,28600.0,мужской,1,Хол/НЗ,9.0,1,Высшее,1,2,0.23,0
23857412.0,58.0,Москва,слесарь,2.0,2.0,False,28600.0,мужской,3,Жен/ЗМ,35.0,1,Среднее общее,1,1,0.3,1
23865806.0,59.0,Москва,инспектор,0.0,1.0,False,33600.0,мужской,2,Жен/ЗМ,10.0,1,Среднее специальное,1,0,0.31,0
23866442.0,41.0,Москва,инженер,3.0,1.0,False,37980.0,женский,4,Жен/ЗМ,6.0,1,Среднее специальное,1,0,0.71,1
23866517.0,39.0,Москва,Ведущий инженер,1.0,2.0,False,42300.0,мужской,3,Разв.,5.0,1,Среднее общее,1,8,0.25,1
23863085.0,51.0,Москва,Ведущий инженер,15.0,1.0,False,73400.0,мужской,1,Жен/ЗМ,28.0,1,Высшее,1,5,0.6,0
23864565.0,58.0,Москва,токарь,12.0,1.0,False,33600.0,женский,4,Жен/ЗМ,16.0,1,Среднее общее,1,6,0.57,0
23859806.0,63.0,Москва,машинист,35.0,3.0,False,23020.0,мужской,2,Жен/ЗМ,34.0,1,Среднее общее,0,8,0.46,1
23859810.0,43.0,Москва,инженер,1.0,1.0,False,36800.0,женский,3,Жен/ЗМ,24.0,1,Высшее,1,6,0.89,0
23867080.0,31.0,Москва,электрослесарь,0.0,1.0,True,29520.0,мужской,4,Жен/ЗМ,2.0,1,Высшее,1,8,0.15,1
23867126.0,40.0,Москва,оператор,1.0,2.0,False,15900.0,мужской,3,Жен/ЗМ,1.0,1,Высшее,0,7,0.33,1
23860001.0,48.0,Москва,Ведущий инженер,4.0,2.0,False,43660.0,мужской,4,Жен/ЗМ,24.0,1,Высшее,1,4,0.16,1
23865779.0,33.0,Москва,инспектор,0.0,0.0,True,33600.0,мужской,2,Хол/НЗ,10.0,1,Высшее,1,0,0.2,1
23860244.0,60.0,Москва,лаборант ,50.0,2.0,False,19900.0,женский,1,Жен/ЗМ,34.0,1,Высшее,1,1,0.5,1
23858812.0,42.0,Москва,Старший оператор ,29.0,1.0,False,37980.0,мужской,2,Жен/ЗМ,21.0,1,Высшее,0,3,0.35,1
23866473.0,33.0,Москва,инженер,19.0,0.0,True,36800.0,мужской,3,Жен/ЗМ,6.0,1,Высшее,0,7,0.95,1
23860388.0,69.0,Москва,диспетчер,144.0,2.0,False,26010.0,мужской,1,Разв.,24.0,1,Высшее,1,1,0.96,1
23860478.0,61.0,Москва,машинист,1.0,2.0,False,23740.0,мужской,1,Разв.,24.0,1,Среднее общее,1,5,0.8,1
23860550.0,54.0,Москва,инженер,5.0,1.0,False,36800.0,мужской,3,Жен/ЗМ,28.0,1,Высшее,1,3,0.9,1
23860584.0,45.0,Москва,инженер,2.0,1.0,False,34680.0,мужской,4,Жен/ЗМ,19.0,1,Высшее,1,5,0.51,0
23866437.0,36.0,Москва,Ведущий специалист,0.0,2.0,False,43660.0,женский,4,Жен/ЗМ,6.0,1,Среднее общее,1,2,0.46,1
23861383.0,61.0,Москва,Ведущий инженер,1.0,3.0,False,43660.0,мужской,2,Жен/ЗМ,34.0,1,Среднее специальное,0,2,0.23,0
23864686.0,39.0,Москва,инженер,29.0,2.0,False,42300.0,мужской,3,Жен/ЗМ,16.0,1,Высшее,1,9,0.46,0
23866774.0,35.0,Москва,машинист,1.0,2.0,True,23000.0,женский,4,Жен/ЗМ,3.0,1,Высшее,1,3,0.81,1
23865878.0,34.0,Москва,слесарь,30.0,1.0,True,25800.0,мужской,2,Жен/ЗМ,9.0,1,Среднее общее,0,2,0.73,0
23866561.0,28.0,Обнинск,машинист,23.0,0.0,True,32300.0,мужской,3,Хол/НЗ,5.0,1,Среднее общее,1,9,0.1,1
23861699.0,42.0,Москва,инспектор,1.0,1.0,False,34680.0,мужской,4,Жен/ЗМ,1.0,1,Высшее,1,2,0.48,1
23861750.0,60.0,Москва,начальник смены,3.0,1.0,False,67080.0,мужской,4,Жен/ЗМ,19.0,1,Высшее,1,5,0.11,1
23858762.0,66.0,Москва,электромонтер ,1.0,2.0,False,32300.0,мужской,2,Жен/ЗМ,25.0,1,Высшее,1,6,0.57,1
23856158.0,49.0,Москва,заместитель начальника цеха,35.0,1.0,False,67080.0,мужской,1,Жен/ЗМ,26.0,1,Среднее общее,1,4,0.51,1
23866775.0,33.0,Москва,инженер,10.0,1.0,True,37980.0,женский,4,Жен/ЗМ,3.0,1,Высшее,1,0,0.21,1
23865202.0,37.0,Москва,начальник смены,23.0,0.0,False,33600.0,мужской,3,Хол/НЗ,15.0,1,Среднее общее,1,7,0.37,1
